Latitude,Longitude,Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
51.49224823,-0.147114753,WMD,PM2.5,18/07/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,19/07/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,20/07/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,21/07/2025 00:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,22/07/2025 00:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,23/07/2025 00:00,11,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,24/07/2025 00:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,25/07/2025 00:00,9,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,26/07/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,27/07/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,28/07/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,29/07/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,30/07/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,31/07/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,1/8/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,2/8/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,3/8/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,4/8/2025 0:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,5/8/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,6/8/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,7/8/2025 0:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,8/8/2025 0:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,9/8/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,10/8/2025 0:00,12,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,11/8/2025 0:00,12,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,12/8/2025 0:00,14,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,13/08/2025 00:00,15,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,14/08/2025 00:00,,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,15/08/2025 00:00,,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,16/08/2025 00:00,,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,17/08/2025 00:00,,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,18/08/2025 00:00,,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,19/08/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,20/08/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,21/08/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,22/08/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,23/08/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,24/08/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,25/08/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,26/08/2025 00:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,27/08/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,28/08/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,29/08/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,30/08/2025 00:00,2,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,31/08/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,1/9/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,2/9/2025 0:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,3/9/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,4/9/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,5/9/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,6/9/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,7/9/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,8/9/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,9/9/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,10/9/2025 0:00,2,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,11/9/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,12/9/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,13/09/2025 00:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,14/09/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,15/09/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,16/09/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,17/09/2025 00:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,18/09/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,19/09/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,20/09/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,21/09/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,22/09/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,23/09/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,24/09/2025 00:00,3,ug/m3,P
